age,income,home_ownership_enc,emplyment_length,loan_intent_enc,loan_amount,loan_interest_rate,loan_income_ratio,payment_default_enc,credit_history_length,max_allowed_loan
40.0,182004,3,3,1,35000,8.0,0.19,0,11,35000
40.0,90000,0,3,2,35000,12.42,0.39,0,14,35000
40.0,131004,0,9,5,30000,7.9,0.23,0,13,30000
40.0,150000,0,9,0,25000,11.89,0.17,0,11,25000
40.0,132000,0,3,2,25000,16.82,0.22,0,17,25000
40.0,80000,0,2,0,25000,10.25,0.31,0,11,25000
40.0,80000,0,9,5,25000,18.67,0.3,0,17,25000
40.0,60000,2,5,5,25000,11.97,0.42,1,12,25000
40.0,85000,0,3,2,25000,12.18,0.29,0,16,25000
40.0,69996,2,19,1,25000,18.25,0.36,0,14,25000
40.0,186996,3,18,0,25000,6.99,0.12,0,17,25000
40.0,120000,0,9,4,25000,10.75,0.21,0,12,25000
40.0,179000,0,7,5,25000,10.99,0.14,0,17,25000
40.0,140000,0,2,3,24500,11.83,0.17,0,14,24500
40.0,210000,3,1,3,24000,10.65,0.11,0,15,24000
40.0,150000,0,2,4,24000,11.83,0.16,0,13,24000
40.0,170000,0,1,2,21000,14.72,0.12,0,12,21000
40.0,125000,0,1,4,21000,6.99,0.17,0,16,21000
40.0,120000,2,4,0,20000,15.95,0.17,0,15,20000
40.0,60000,0,13,2,20000,14.54,0.33,0,14,20000
40.0,80000,2,10,4,20000,18.62,0.25,0,14,20000
40.0,72000,3,3,2,20000,13.47,0.28,0,16,20000
40.0,78000,0,3,1,20000,11.83,0.26,0,15,20000
40.0,200000,0,3,5,20000,11.86,0.1,0,14,20000
40.0,190000,2,0,1,20000,6.03,0.1,0,14,20000
40.0,130000,3,3,2,20000,14.09,0.15,0,13,20000
40.0,109720,0,19,4,20000,10.75,0.18,0,14,20000
40.0,80000,0,5,3,20000,13.23,0.25,0,12,20000
40.0,98000,0,22,2,20000,9.88,0.2,0,16,20000
40.0,96000,0,18,2,18000,15.27,0.19,0,12,18000
40.0,100000,0,6,1,18000,6.99,0.18,0,14,18000
40.0,60000,0,2,3,18000,10.37,0.31,0,14,18000
40.0,550000,0,5,5,18000,11.12,0.03,0,13,18000
40.0,142000,0,2,1,18000,12.99,0.13,1,14,18000
40.0,80000,3,5,2,18000,10.99,0.23,0,16,18000
40.0,79872,0,4,0,18000,12.68,0.23,0,12,18000
40.0,50000,3,3,3,18000,10.25,0.36,0,15,18000
40.0,120000,0,4,4,17625,7.49,0.15,0,17,17625
40.0,108928,0,0,2,17600,14.27,0.15,1,14,17600
40.0,75000,0,0,5,17600,6.76,0.23,0,17,17600
40.0,78301,0,5,3,17000,6.62,0.22,0,13,17000
40.0,54400,0,3,2,17000,12.99,0.28,1,13,17000
40.0,60000,3,0,1,17000,11.71,0.28,0,13,17000
40.0,70000,0,18,0,17000,11.12,0.24,0,12,17000
40.0,60000,0,18,5,16750,7.88,0.28,0,14,16750
40.0,200000,3,5,4,16000,11.14,0.08,0,13,16000
40.0,110000,0,5,1,16000,10.25,0.15,0,13,16000
40.0,67000,3,12,5,16000,9.99,0.24,0,13,16000
40.0,56472,3,4,1,15775,14.42,0.28,0,15,15775
40.0,75000,0,0,2,15000,8.94,0.2,0,17,15000
40.0,60000,0,2,2,15000,8.94,0.25,0,13,15000
40.0,58000,0,9,2,15000,6.17,0.26,0,14,15000
40.0,77000,0,5,3,15000,12.21,0.19,0,14,15000
40.0,50000,3,2,5,15000,11.26,0.3,0,15,15000
40.0,60000,3,2,3,15000,13.11,0.25,1,14,15000
40.0,150000,3,8,2,15000,10.25,0.1,0,13,15000
40.0,60000,3,4,2,15000,14.96,0.25,1,16,15000
40.0,110000,3,2,0,15000,5.42,0.14,0,12,15000
40.0,90000,3,1,3,15000,14.26,0.17,1,15,15000
40.0,50000,3,6,1,15000,16.89,0.3,0,17,15000
40.0,60000,2,20,2,15000,13.43,0.25,1,13,15000
40.0,69996,2,2,1,15000,12.84,0.21,0,11,15000
40.0,70000,0,5,1,15000,14.26,0.21,1,15,15000
40.0,53000,0,2,2,15000,10.62,0.28,0,15,15000
40.0,58000,0,16,4,15000,10.25,0.26,0,14,15000
40.0,100000,0,4,2,15000,11.49,0.15,0,13,15000
40.0,135000,0,0,4,15000,13.47,0.11,1,17,15000
40.0,63000,0,3,2,15000,10.25,0.24,0,17,15000
40.0,48000,0,17,3,14750,9.91,0.29,0,15,14750
40.0,42000,0,13,1,14500,7.88,0.33,0,13,14500
40.0,57000,3,0,0,14400,11.71,0.25,0,12,14400
40.0,75000,3,2,1,14400,14.72,0.19,1,16,14400
40.0,110000,3,5,4,14000,5.42,0.13,0,11,14000
40.0,54996,3,1,5,14000,10.37,0.25,0,15,14000
40.0,180000,0,6,3,14000,14.27,0.08,1,14,14000
40.0,86500,2,24,1,14000,7.29,0.16,0,12,14000
40.0,140000,3,5,2,14000,7.88,0.1,0,13,14000
40.0,70000,3,3,0,14000,13.49,0.2,1,12,14000
40.0,117600,0,8,0,14000,13.48,0.12,0,17,14000
40.0,60000,3,2,2,14000,12.53,0.23,0,15,14000
40.0,180000,0,8,1,14000,11.99,0.08,0,11,14000
40.0,115000,0,12,0,14000,6.03,0.12,0,16,14000
40.0,115000,0,16,5,14000,6.03,0.12,0,13,14000
40.0,54000,0,2,2,13200,7.88,0.25,0,16,13200
40.0,63996,0,8,3,13000,10.25,0.2,0,17,13000
40.0,48000,3,5,5,13000,5.79,0.25,0,11,13000
40.0,101877,3,8,2,12800,7.88,0.12,0,14,12800
40.0,52000,3,2,2,12800,10.99,0.25,0,17,12800
40.0,90000,0,19,5,12000,12.61,0.13,0,13,12000
40.0,60000,0,15,4,12000,14.27,0.2,0,16,12000
40.0,65000,0,7,3,12000,8.94,0.18,0,12,12000
40.0,60000,3,5,2,12000,11.71,0.2,0,14,12000
40.0,40000,3,2,1,12000,7.9,0.3,0,11,12000
40.0,60000,3,5,4,12000,11.71,0.2,0,13,12000
40.0,50000,3,4,2,12000,13.99,0.24,1,16,12000
40.0,132000,3,1,2,12000,12.87,0.09,0,16,12000
40.0,55000,0,3,1,12000,15.2,0.22,0,14,12000
40.0,53000,3,7,4,12000,16.77,0.23,0,16,12000
40.0,150000,0,5,5,12000,7.29,0.08,0,17,12000
40.0,60000,3,6,4,12000,13.49,0.2,0,16,12000
40.0,54000,3,4,0,12000,11.36,0.22,0,17,12000
40.0,180000,3,2,0,12000,7.51,0.07,0,13,12000
40.0,75000,0,7,4,12000,7.88,0.17,0,13,12000
40.0,55000,3,3,1,12000,14.27,0.22,0,15,12000
40.0,110000,0,0,3,12000,10.37,0.11,0,15,12000
40.0,50000,0,6,0,12000,10.37,0.24,0,14,12000
40.0,130000,0,3,4,12000,9.91,0.09,0,15,12000
40.0,75000,0,3,3,12000,7.51,0.16,0,13,12000
40.0,90000,0,11,1,12000,10.0,0.13,0,11,12000
40.0,100000,0,0,2,12000,8.59,0.12,0,15,12000
40.0,72000,3,3,4,12000,14.27,0.17,1,15,12000
40.0,38000,2,10,5,12000,5.42,0.32,0,16,12000
40.0,85000,2,16,5,12000,7.51,0.14,0,14,12000
40.0,123735,0,8,4,12000,7.88,0.1,0,12,12000
40.0,110000,3,1,5,12000,6.99,0.11,0,15,12000
40.0,130000,0,6,3,11800,11.14,0.09,0,13,11800
40.0,65000,3,6,3,11500,12.87,0.18,1,17,11500
40.0,40000,3,0,4,11500,14.26,0.28,0,12,11500
40.0,95000,0,3,2,11200,14.27,0.12,0,16,11200
40.0,50000,0,5,5,11000,5.99,0.22,0,14,11000
40.0,130000,0,1,4,11000,10.99,0.08,0,12,11000
40.0,125000,3,3,5,10200,8.49,0.08,0,17,10200
40.0,74000,3,7,3,10200,12.53,0.14,0,17,10200
40.0,57600,3,1,4,10000,13.61,0.17,0,11,10000
40.0,60000,0,12,0,10000,7.14,0.17,0,14,10000
40.0,50000,0,2,1,10000,15.28,0.2,1,17,10000
40.0,120000,0,2,2,10000,10.37,0.08,0,12,10000
40.0,90000,3,1,3,10000,11.86,0.11,0,12,10000
40.0,35640,0,2,3,10000,7.88,0.28,0,11,10000
40.0,150000,0,8,3,10000,7.29,0.07,0,12,10000
40.0,82000,2,10,1,10000,9.99,0.12,0,11,10000
40.0,63000,0,0,3,10000,10.74,0.16,0,14,10000
40.0,102000,0,2,3,10000,9.63,0.1,0,14,10000
40.0,36000,0,3,4,10000,5.99,0.28,0,17,10000
40.0,175500,0,2,2,10000,12.18,0.06,0,15,10000
40.0,125000,3,3,1,10000,14.27,0.08,0,15,10000
40.0,42000,3,4,5,10000,7.9,0.24,0,15,10000
40.0,85000,0,18,3,10000,9.99,0.12,0,12,10000
40.0,98000,0,5,5,10000,11.48,0.1,0,11,10000
40.0,60000,0,12,5,10000,10.36,0.17,0,16,10000
40.0,75996,0,15,3,10000,6.91,0.13,0,16,10000
40.0,200000,0,2,0,10000,7.9,0.05,0,14,10000
40.0,40000,0,4,3,10000,5.99,0.25,0,16,10000
40.0,75000,0,0,1,10000,10.95,0.13,0,14,10000
40.0,60000,3,5,3,10000,10.59,0.17,0,17,10000
40.0,44000,3,4,5,10000,6.62,0.23,0,17,10000
40.0,50000,3,5,5,10000,6.62,0.2,0,16,10000
40.0,70000,3,2,1,10000,10.65,0.14,0,12,10000
40.0,38004,3,4,3,10000,9.63,0.26,0,13,10000
40.0,120000,0,2,3,10000,11.99,0.08,0,11,10000
40.0,60000,3,2,5,10000,13.43,0.17,1,14,10000
40.0,100000,2,16,3,10000,7.49,0.1,0,17,10000
40.0,60000,0,4,2,10000,7.88,0.17,0,16,10000
40.0,112500,0,2,2,10000,10.25,0.09,0,12,10000
40.0,108288,0,13,0,10000,10.37,0.09,0,14,10000
40.0,39000,0,6,2,10000,11.48,0.26,0,15,10000
40.0,150000,0,5,1,10000,7.9,0.07,0,13,10000
40.0,60000,3,5,2,10000,13.43,0.17,0,17,10000
40.0,80000,0,3,2,10000,11.49,0.13,0,17,10000
40.0,67000,3,13,0,10000,10.74,0.15,0,14,10000
40.0,50000,3,3,2,10000,6.62,0.2,0,15,10000
40.0,70000,0,2,1,10000,14.27,0.14,1,12,10000
40.0,115000,3,16,1,9975,7.49,0.09,0,14,9975
40.0,114000,3,2,5,9975,11.49,0.09,0,16,9975
40.0,106000,0,19,1,9600,9.99,0.09,0,14,9600
40.0,45760,0,2,4,9125,11.11,0.2,0,11,9125
40.0,75000,0,2,5,9000,5.79,0.12,0,14,9000
40.0,118000,0,1,5,9000,14.11,0.07,0,14,9000
40.0,92700,3,1,1,9000,9.63,0.1,0,11,9000
40.0,65000,0,5,3,9000,10.99,0.14,0,13,9000
40.0,170000,0,18,2,9000,9.45,0.05,0,11,9000
40.0,45000,3,0,2,9000,12.61,0.19,1,13,9000
40.0,110000,0,3,4,9000,13.72,0.08,1,15,9000
40.0,68000,0,4,1,8700,15.58,0.12,1,16,8700
40.0,28800,2,0,5,8000,10.38,0.28,0,17,8000
40.0,62000,0,3,2,8000,14.83,0.13,0,15,8000
40.0,35000,2,2,4,8000,16.29,0.23,1,13,8000
40.0,55000,0,2,5,8000,12.53,0.15,0,13,8000
40.0,60000,3,1,2,8000,13.57,0.13,0,12,8000
40.0,48000,3,15,0,8000,9.25,0.17,0,14,8000
40.0,55000,0,5,4,8000,8.49,0.15,0,14,8000
40.0,60000,3,6,4,8000,10.37,0.13,0,11,8000
40.0,50000,0,5,3,8000,5.99,0.16,0,11,8000
40.0,69996,3,1,3,8000,9.32,0.11,0,16,8000
40.0,87000,3,2,1,8000,12.21,0.09,0,11,8000
40.0,70000,2,11,2,8000,13.61,0.11,0,15,8000
40.0,61500,3,3,3,8000,10.37,0.13,0,17,8000
